Date,Flight Number,From,To,Class,Price,Flow Card,Bags Checked,Meal Type
2024-07-22,PA010,Tokyo,New York,Economy,2380.0,Yes,0,Egg Free
2024-04-20,PA002,New York,London,Economy,3490.0,Yes,1,Vegan
2024-01-23,PA010,Tokyo,New York,Premium Economy,825.0,Yes,1,Vegetarian
2024-06-05,PA006,Tokyo,London,First Class,618.0,Yes,3,Vegan
2024-03-30,PA004,Perth,London,First Class,446.0,Yes,1,Nut Free
2024-06-14,PA006,Tokyo,London,Premium Economy,1062.5,Yes,3,Egg Free
2024-07-15,PA006,Tokyo,London,First Class,499.0,Yes,1,Egg Free
2024-02-25,PA004,Perth,London,Premium Economy,827.5,Yes,0,Vegetarian
2024-07-26,PA004,Perth,London,Economy,2245.0,Yes,1,Vegan
2024-12-10,PA004,Perth,London,Business Class,391.2,Yes,2,Vegetarian
2024-09-23,PA005,London,Tokyo,First Class,626.0,Yes,2,Vegetarian
2024-06-04,PA006,Tokyo,London,First Class,537.0,Yes,2,Dairy Free
2024-04-16,PA008,Perth,New York,First Class,216.0,Yes,0,Vegan
2024-06-21,PA004,Perth,London,Business Class,646.8,Yes,3,
2024-10-20,PA003,London,Perth,Economy,2215.0,Yes,3,Nut Free
2024-02-17,PA003,London,Perth,Business Class,784.8,Yes,3,Vegan
2024-05-28,PA005,London,Tokyo,Economy,1505.0,Yes,2,Dairy Free
2024-06-19,PA003,London,Perth,First Class,454.0,Yes,1,Dairy Free
2024-02-11,PA012,Tokyo,Perth,Premium Economy,1142.5,Yes,3,Vegan
2024-01-17,PA006,Tokyo,London,Business Class,712.8,Yes,3,Vegetarian
2024-04-08,PA003,London,Perth,First Class,525.0,Yes,2,Dairy Free
2024-04-12,PA007,New York,Perth,First Class,696.0,Yes,1,Vegetarian
2024-09-03,PA004,Perth,London,Economy,3445.0,Yes,0,Vegetarian
2024-11-02,PA008,Perth,New York,First Class,242.0,Yes,2,Egg Free
2024-01-11,PA002,New York,London,First Class,406.0,Yes,3,Vegan
2024-08-07,PA005,London,Tokyo,Business Class,739.1999999999999,Yes,0,Nut Free
2024-02-25,PA010,Tokyo,New York,Economy,1495.0,Yes,3,Egg Free
2024-12-04,PA003,London,Perth,Economy,2820.0,Yes,0,Vegetarian
2024-02-13,PA005,London,Tokyo,First Class,693.0,Yes,2,
2024-03-23,PA005,London,Tokyo,Economy,3375.0,Yes,2,
2024-10-09,PA012,Tokyo,Perth,Economy,1340.0,Yes,2,Nut Free
2024-07-05,PA005,London,Tokyo,Premium Economy,1677.5,Yes,3,Dairy Free
2024-06-09,PA003,London,Perth,Business Class,432.0,Yes,1,Vegan
2024-04-16,PA010,Tokyo,New York,Economy,3105.0,Yes,1,Dairy Free
2024-08-19,PA001,London,New York,Economy,2550.0,Yes,3,Dairy Free
2024-07-16,PA003,London,Perth,First Class,284.0,Yes,3,Nut Free
2024-05-31,PA009,New York,Tokyo,Economy,2450.0,Yes,3,
2024-07-25,PA007,New York,Perth,Business Class,573.6,Yes,1,Vegan
2024-11-21,PA006,Tokyo,London,Economy,2270.0,Yes,2,Dairy Free
2024-07-28,PA010,Tokyo,New York,Premium Economy,1020.0,Yes,0,Nut Free
2024-08-16,PA007,New York,Perth,Premium Economy,1665.0,Yes,3,Egg Free
2024-03-18,PA003,London,Perth,Business Class,615.6,Yes,3,Nut Free
2024-09-21,PA002,New York,London,Premium Economy,1175.0,Yes,0,Vegan
2024-07-05,PA001,London,New York,Premium Economy,850.0,Yes,0,Egg Free
2024-08-20,PA010,Tokyo,New York,Premium Economy,1365.0,Yes,0,Egg Free
2024-10-15,PA008,Perth,New York,Business Class,386.4,Yes,3,Egg Free
2024-12-12,PA010,Tokyo,New York,Business Class,793.1999999999999,Yes,1,
2024-02-14,PA006,Tokyo,London,Business Class,270.0,Yes,0,Dairy Free
2024-11-23,PA003,London,Perth,Business Class,538.8,Yes,1,Vegetarian
2024-02-14,PA002,New York,London,First Class,296.0,Yes,0,Vegetarian
2024-05-17,PA003,London,Perth,Business Class,379.2,Yes,3,Nut Free
2024-06-02,PA007,New York,Perth,First Class,612.0,Yes,0,Nut Free
2024-07-23,PA005,London,Tokyo,Premium Economy,1015.0,Yes,3,Nut Free
2024-08-21,PA012,Tokyo,Perth,Business Class,572.4,Yes,0,
2024-03-17,PA005,London,Tokyo,Economy,2380.0,Yes,1,Egg Free
2024-11-27,PA007,New York,Perth,Premium Economy,692.5,Yes,0,Nut Free
2024-07-25,PA009,New York,Tokyo,Business Class,734.4,Yes,2,Vegetarian
2024-05-13,PA006,Tokyo,London,Premium Economy,1520.0,Yes,3,Vegetarian
2024-09-28,PA011,Perth,Tokyo,Premium Economy,1397.5,Yes,2,Dairy Free
2024-06-14,PA009,New York,Tokyo,First Class,383.0,Yes,0,Dairy Free
2024-06-08,PA007,New York,Perth,Economy,2825.0,Yes,2,Vegetarian
2024-01-09,PA002,New York,London,First Class,342.0,Yes,2,Dairy Free
2024-11-22,PA003,London,Perth,Economy,2245.0,Yes,1,
2024-09-04,PA002,New York,London,Premium Economy,1387.5,Yes,2,Vegetarian
2024-09-19,PA009,New York,Tokyo,Premium Economy,675.0,Yes,2,Egg Free
2024-02-27,PA004,Perth,London,First Class,535.0,Yes,3,Dairy Free
2024-10-19,PA001,London,New York,Premium Economy,545.0,Yes,0,Nut Free
2024-03-26,PA012,Tokyo,Perth,First Class,566.0,Yes,0,Dairy Free
2024-09-27,PA002,New York,London,Premium Economy,625.0,Yes,2,Dairy Free
2024-05-11,PA006,Tokyo,London,First Class,208.0,Yes,0,
2024-06-25,PA012,Tokyo,Perth,Economy,2080.0,Yes,0,Vegetarian
2024-08-03,PA002,New York,London,First Class,284.0,Yes,0,
2024-04-27,PA011,Perth,Tokyo,Economy,3245.0,Yes,3,Vegetarian
2024-04-09,PA006,Tokyo,London,Premium Economy,710.0,Yes,2,Egg Free
2024-11-19,PA003,London,Perth,Premium Economy,1357.5,Yes,3,Vegan
2024-06-24,PA006,Tokyo,London,First Class,245.0,Yes,1,Nut Free
2024-02-12,PA011,Perth,Tokyo,Business Class,505.2,Yes,1,Vegetarian
2024-03-04,PA008,Perth,New York,Business Class,538.8,Yes,0,Egg Free
2024-12-15,PA009,New York,Tokyo,Economy,1310.0,Yes,0,Egg Free
2024-09-25,PA008,Perth,New York,First Class,642.0,Yes,3,Vegan
2024-02-23,PA002,New York,London,Premium Economy,547.5,Yes,2,Nut Free
2024-01-27,PA004,Perth,London,Premium Economy,1147.5,Yes,2,Nut Free
2024-06-20,PA008,Perth,New York,First Class,217.0,Yes,2,Egg Free
2024-10-14,PA011,Perth,Tokyo,Economy,2180.0,Yes,1,Nut Free
2024-04-01,PA004,Perth,London,Business Class,261.59999999999997,Yes,0,Dairy Free
2024-08-04,PA011,Perth,Tokyo,Economy,1005.0,Yes,1,Dairy Free
2024-04-09,PA007,New York,Perth,Premium Economy,842.5,Yes,3,Egg Free
2024-08-18,PA002,New York,London,Premium Economy,1360.0,Yes,0,
2024-04-17,PA002,New York,London,Economy,1630.0,Yes,1,Vegan
2024-01-15,PA004,Perth,London,Premium Economy,1472.5,Yes,0,Nut Free
2024-02-10,PA009,New York,Tokyo,First Class,368.0,Yes,3,Vegan
2024-06-02,PA006,Tokyo,London,Premium Economy,1735.0,Yes,3,Vegan
2024-10-06,PA010,Tokyo,New York,Premium Economy,992.5,Yes,3,Vegan
2024-06-03,PA011,Perth,Tokyo,First Class,201.0,Yes,1,Vegetarian
2024-12-10,PA002,New York,London,Economy,3030.0,Yes,2,Dairy Free
2024-12-21,PA001,London,New York,Business Class,655.1999999999999,Yes,2,
2024-09-10,PA011,Perth,Tokyo,Business Class,306.0,Yes,0,Dairy Free
2024-03-12,PA006,Tokyo,London,Economy,3010.0,Yes,3,Egg Free
2024-10-17,PA005,London,Tokyo,First Class,228.0,Yes,1,
2024-08-24,PA003,London,Perth,Economy,1780.0,Yes,3,Dairy Free
2024-12-11,PA004,Perth,London,First Class,595.0,Yes,2,Vegan
2024-08-01,PA003,London,Perth,Economy,2170.0,Yes,3,Nut Free
2024-07-31,PA010,Tokyo,New York,Premium Economy,1412.5,Yes,0,Vegan
2024-10-08,PA008,Perth,New York,Business Class,249.6,Yes,2,Nut Free
2024-12-12,PA010,Tokyo,New York,Premium Economy,1437.5,Yes,1,Egg Free
2024-10-14,PA009,New York,Tokyo,Economy,1360.0,Yes,1,Dairy Free
2024-10-25,PA008,Perth,New York,First Class,575.0,Yes,0,Nut Free
2024-08-07,PA002,New York,London,Premium Economy,832.5,Yes,0,
2024-12-04,PA004,Perth,London,Economy,2540.0,Yes,3,Vegan
2024-07-28,PA005,London,Tokyo,First Class,263.0,Yes,2,
2024-03-12,PA007,New York,Perth,Economy,2640.0,Yes,0,Vegan
2024-05-11,PA003,London,Perth,Economy,2885.0,Yes,3,Vegetarian
2024-12-05,PA008,Perth,New York,Economy,2200.0,Yes,1,Nut Free
2024-03-13,PA001,London,New York,Premium Economy,1422.5,Yes,0,Dairy Free
2024-12-05,PA012,Tokyo,Perth,Economy,2230.0,Yes,3,
2024-08-21,PA008,Perth,New York,First Class,300.0,Yes,0,Vegan
2024-10-31,PA010,Tokyo,New York,Premium Economy,780.0,Yes,2,
2024-11-01,PA009,New York,Tokyo,Premium Economy,1585.0,Yes,1,Dairy Free
2024-06-04,PA010,Tokyo,New York,First Class,389.0,Yes,1,Egg Free
2024-06-12,PA012,Tokyo,Perth,Business Class,318.0,Yes,1,Nut Free
2024-08-13,PA011,Perth,Tokyo,Economy,1165.0,Yes,0,
2024-02-03,PA003,London,Perth,Premium Economy,1095.0,Yes,3,
2024-08-20,PA005,London,Tokyo,Premium Economy,1632.5,Yes,2,Vegan
2024-01-20,PA004,Perth,London,First Class,440.0,Yes,3,Dairy Free
2024-05-04,PA007,New York,Perth,Premium Economy,1680.0,Yes,1,Nut Free
2024-01-03,PA006,Tokyo,London,Economy,1280.0,Yes,1,Dairy Free
2024-04-11,PA008,Perth,New York,First Class,676.0,Yes,1,Egg Free
2024-03-21,PA004,Perth,London,Business Class,836.4,Yes,1,Egg Free
2024-10-09,PA011,Perth,Tokyo,Economy,3065.0,Yes,3,Dairy Free
2024-05-31,PA007,New York,Perth,Premium Economy,725.0,Yes,3,Dairy Free
2024-05-19,PA005,London,Tokyo,Business Class,424.8,Yes,2,Nut Free
2024-01-25,PA012,Tokyo,Perth,Business Class,358.8,Yes,0,
2024-01-02,PA003,London,Perth,Premium Economy,1200.0,Yes,3,Dairy Free
2024-05-15,PA008,Perth,New York,Business Class,427.2,Yes,0,Vegan
2024-04-24,PA010,Tokyo,New York,Economy,2130.0,Yes,0,Dairy Free
2024-04-28,PA002,New York,London,Business Class,241.2,Yes,2,Vegetarian
2024-12-13,PA003,London,Perth,Premium Economy,505.0,Yes,2,
2024-10-20,PA011,Perth,Tokyo,First Class,385.0,Yes,2,Dairy Free
2024-08-27,PA002,New York,London,First Class,573.0,Yes,1,Vegan
2024-11-12,PA003,London,Perth,Economy,2190.0,Yes,3,Vegetarian
2024-07-23,PA009,New York,Tokyo,Business Class,339.59999999999997,Yes,1,Vegetarian
2024-02-22,PA005,London,Tokyo,Business Class,468.0,Yes,1,
2024-09-18,PA001,London,New York,Economy,1020.0,Yes,0,Vegetarian
2024-12-06,PA011,Perth,Tokyo,Business Class,601.1999999999999,Yes,3,Dairy Free
2024-10-10,PA001,London,New York,Economy,3035.0,Yes,3,Vegetarian
2024-12-14,PA007,New York,Perth,Premium Economy,1305.0,Yes,2,Nut Free
2024-11-07,PA006,Tokyo,London,First Class,252.0,Yes,0,
2024-03-21,PA003,London,Perth,Business Class,272.4,Yes,2,Nut Free
2024-02-26,PA009,New York,Tokyo,Premium Economy,1085.0,Yes,2,Vegan
2024-07-31,PA012,Tokyo,Perth,Premium Economy,817.5,Yes,1,Egg Free
2024-01-20,PA008,Perth,New York,Economy,2330.0,Yes,1,Egg Free
2024-08-26,PA007,New York,Perth,Economy,2235.0,Yes,1,
2024-04-05,PA005,London,Tokyo,Economy,3005.0,Yes,0,
2024-01-05,PA010,Tokyo,New York,First Class,681.0,Yes,0,
2024-03-02,PA006,Tokyo,London,Business Class,558.0,Yes,2,Vegetarian
2024-03-06,PA009,New York,Tokyo,Economy,1840.0,Yes,3,Vegetarian
2024-04-16,PA012,Tokyo,Perth,First Class,506.0,Yes,2,Nut Free
2024-05-29,PA007,New York,Perth,Business Class,240.0,Yes,1,Vegetarian
2024-01-04,PA002,New York,London,Premium Economy,1635.0,Yes,2,Egg Free
2024-07-07,PA011,Perth,Tokyo,Economy,2590.0,Yes,1,Vegetarian
2024-10-06,PA003,London,Perth,Business Class,783.6,Yes,2,Vegan
2024-05-03,PA001,London,New York,Economy,3160.0,Yes,2,
