Date,Flight Number,From,To,Class,Price,Flow Card,Bags Checked,Meal Type
2024-09-28,PA008,Perth,New York,Economy,1855.0,No,2,Vegetarian
2024-10-01,PA008,Perth,New York,Business Class,634.8,No,0,Vegetarian
2024-03-04,PA007,New York,Perth,Business Class,458.4,No,3,Nut Free
2024-02-25,PA010,Tokyo,New York,Premium Economy,1435.0,No,0,
2024-03-29,PA004,Perth,London,Economy,2730.0,No,2,Vegan
2024-06-07,PA005,London,Tokyo,Business Class,294.0,No,2,Egg Free
2024-06-30,PA009,New York,Tokyo,First Class,236.0,No,1,Vegetarian
2024-08-12,PA011,Perth,Tokyo,Economy,2570.0,No,2,Vegan
2024-11-05,PA010,Tokyo,New York,First Class,397.0,No,2,
2024-03-19,PA003,London,Perth,First Class,585.0,No,2,Egg Free
2024-02-19,PA011,Perth,Tokyo,Premium Economy,630.0,No,3,Nut Free
2024-03-10,PA011,Perth,Tokyo,Business Class,556.8,No,3,Dairy Free
2024-12-21,PA006,Tokyo,London,Business Class,307.2,No,3,Nut Free
2024-12-18,PA002,New York,London,Premium Economy,917.5,No,2,Dairy Free
2024-06-16,PA012,Tokyo,Perth,Business Class,555.6,No,1,Vegetarian
2024-03-07,PA006,Tokyo,London,Business Class,811.1999999999999,No,0,Egg Free
2024-07-29,PA008,Perth,New York,Economy,2225.0,No,0,Nut Free
2024-07-04,PA004,Perth,London,Economy,2705.0,No,0,Egg Free
2024-01-06,PA011,Perth,Tokyo,Premium Economy,632.5,No,1,Dairy Free
2024-08-31,PA012,Tokyo,Perth,Premium Economy,1207.5,No,2,Dairy Free
2024-03-26,PA008,Perth,New York,Business Class,484.79999999999995,No,2,Egg Free
2024-11-17,PA009,New York,Tokyo,First Class,578.0,No,2,Vegan
2024-02-12,PA010,Tokyo,New York,Premium Economy,842.5,No,2,Vegan
2024-05-05,PA012,Tokyo,Perth,Business Class,788.4,No,1,Egg Free
2024-08-30,PA005,London,Tokyo,First Class,417.0,No,2,Egg Free
2024-12-24,PA006,Tokyo,London,Premium Economy,1710.0,No,0,Vegan
2024-05-19,PA004,Perth,London,Business Class,811.1999999999999,No,1,Vegetarian
2024-03-21,PA002,New York,London,First Class,230.0,No,3,Nut Free
2024-10-06,PA001,London,New York,Business Class,349.2,No,2,
2024-01-06,PA008,Perth,New York,Premium Economy,820.0,No,3,
2024-06-01,PA006,Tokyo,London,First Class,416.0,No,2,Vegan
2024-11-06,PA001,London,New York,Business Class,546.0,No,1,Dairy Free
2024-03-16,PA011,Perth,Tokyo,Economy,3210.0,No,0,Nut Free
2024-05-16,PA009,New York,Tokyo,Economy,1540.0,No,3,Vegan
2024-05-09,PA012,Tokyo,Perth,Economy,3325.0,No,1,Egg Free
